uai,n_pupils,n_pupil_rows,n_teacher_clones,n_teacher_accounts,first_dt,last_dt,acts,sy_list
0312746S,4,4,0,0,2026-06-04 12:31:38+00:00,2026-06-04 12:36:50+00:00,3518185,2025-2026
0313083H,33,33,0,0,2025-06-02 13:23:29+00:00,2026-05-26 08:16:02+00:00,2548348,"2024-2025,2025-2026"
0313228R,21,21,0,0,2026-06-08 08:15:05+00:00,2026-06-08 09:39:16+00:00,3515488,2025-2026
0320002D,4,4,1,1,2025-05-06 18:29:17+00:00,2025-05-07 07:19:43+00:00,5862412,2024-2025
0320025D,1,1,0,0,2026-05-22 14:30:38+00:00,2026-05-22 14:30:38+00:00,3518185,2025-2026
0331668J,31,31,0,0,2024-04-11 12:27:43+00:00,2025-03-20 11:01:32+00:00,2548348,"2023-2024,2024-2025"
0332745E,28,28,0,0,2026-06-02 08:19:32+00:00,2026-06-02 09:21:52+00:00,3518185,2025-2026
0333273D,283,334,0,0,2026-03-06 13:16:41+00:00,2026-05-21 14:41:28+00:00,"3515488,3518185,6659633",2025-2026
0333583R,31,31,1,1,2026-05-29 08:55:01+00:00,2026-06-01 15:22:32+00:00,3515488,2025-2026
0340002T,0,0,3,2,2026-03-24 10:06:58+00:00,2026-03-24 14:09:56+00:00,"3515488,8790616",2025-2026
0340039H,35,94,0,0,2025-10-07 08:21:34+00:00,2025-11-18 09:35:13+00:00,"3518185,6659633",2025-2026
0341794R,67,78,1,1,2025-05-22 14:30:00+00:00,2025-12-09 06:30:14+00:00,"2548348,3515488,3518185","2024-2025,2025-2026"
0342066L,0,0,3,2,2024-06-11 09:15:28+00:00,2026-06-05 14:54:09+00:00,"3515488,3518185","2023-2024,2025-2026"
0342090M,44,44,0,0,2025-06-02 07:14:59+00:00,2026-06-02 11:20:09+00:00,3515488,"2024-2025,2025-2026"
0350011X,17,17,1,1,2026-05-19 11:07:01+00:00,2026-05-31 21:46:13+00:00,2548348,2025-2026
0350028R,0,0,1,1,2025-06-16 13:59:58+00:00,2025-06-16 13:59:58+00:00,3515488,2024-2025
0350710G,28,28,0,0,2026-06-05 14:25:02+00:00,2026-06-05 15:25:53+00:00,8790616,2025-2026
0352760K,0,0,1,1,2026-01-15 10:32:27+00:00,2026-01-15 10:32:27+00:00,3515488,2025-2026
0382203N,0,0,2,1,2024-04-30 16:13:38+00:00,2025-05-21 14:28:53+00:00,"2548348,5909323","2023-2024,2024-2025"
0382920T,4,4,0,0,2025-04-11 08:26:39+00:00,2025-04-11 12:40:30+00:00,2548348,2024-2025
0400933X,29,29,0,0,2026-06-04 06:30:43+00:00,2026-06-05 08:36:31+00:00,2548348,2025-2026
0420008F,7,7,0,0,2026-05-06 06:06:26+00:00,2026-05-06 06:09:40+00:00,5909323,2025-2026
0421788R,19,21,0,0,2026-02-04 10:38:00+00:00,2026-06-04 07:40:32+00:00,"3515488,3534169,5862412",2025-2026
0441552Y,42,42,3,1,2026-05-11 20:24:58+00:00,2026-05-28 09:16:52+00:00,"3515488,3518185,5862412",2025-2026
0442094M,40,47,0,0,2026-05-11 06:29:55+00:00,2026-05-19 12:41:54+00:00,"3515488,3518185",2025-2026
0490001K,24,24,0,0,2025-05-27 07:07:06+00:00,2026-03-31 08:26:26+00:00,"3515488,3518185","2024-2025,2025-2026"
0492061Z,15,15,1,1,2026-04-10 11:38:03+00:00,2026-04-10 11:42:44+00:00,3518185,2025-2026
0492089E,25,26,2,1,2026-01-12 08:59:26+00:00,2026-02-06 14:03:29+00:00,6659633,2025-2026
0492123S,28,28,0,0,2026-02-13 09:21:22+00:00,2026-03-30 08:00:32+00:00,6944347,2025-2026
0492148U,29,29,1,1,2026-05-26 06:40:46+00:00,2026-05-29 12:37:58+00:00,3518185,2025-2026
0492430A,12,12,1,1,2026-01-15 20:10:47+00:00,2026-01-22 12:34:48+00:00,2548348,2025-2026
0500002F,17,17,0,0,2025-06-02 14:17:58+00:00,2025-06-02 14:39:53+00:00,2548348,2024-2025
0500035S,17,17,0,0,2025-05-06 11:06:29+00:00,2025-06-12 07:15:30+00:00,3518185,2024-2025
0540070H,2,2,1,1,2025-03-11 08:47:26+00:00,2025-03-11 12:09:23+00:00,3534169,2024-2025
0561534N,3,3,0,0,2024-05-30 11:48:29+00:00,2024-05-30 12:10:00+00:00,2548348,2023-2024
0590011S,60,61,2,1,2024-12-11 11:16:25+00:00,2026-05-28 08:49:55+00:00,"2548348,3518185","2024-2025,2025-2026"
0590064Z,52,99,2,1,2025-03-03 12:01:11+00:00,2026-05-26 11:09:54+00:00,"3515488,3518185","2024-2025,2025-2026"
0590073J,58,58,6,2,2024-12-10 08:47:03+00:00,2025-02-03 13:47:01+00:00,"2548348,3515488,3518185",2024-2025
0590093F,27,27,1,1,2026-05-20 19:09:34+00:00,2026-05-22 14:32:14+00:00,8790616,2025-2026
0590101P,118,118,49,3,2025-02-23 08:39:27+00:00,2026-03-05 11:02:39+00:00,"3515488,3518185,6944347","2024-2025,2025-2026"
0590102R,7,14,4,3,2026-02-11 15:13:11+00:00,2026-06-15 13:48:52+00:00,"3515488,3518185,6659633",2025-2026
0590110Z,49,53,2,1,2024-04-03 20:12:13+00:00,2025-04-02 18:41:16+00:00,"2548348,3518185","2023-2024,2024-2025"
0590117G,161,263,3,3,2024-03-18 16:19:43+00:00,2026-05-28 15:09:08+00:00,"2548348,3518185,6659633,6944347,8790616","2023-2024,2024-2025,2025-2026"
0590119J,30,30,1,1,2026-04-07 11:14:28+00:00,2026-04-08 09:28:01+00:00,3518185,2025-2026
0590121L,37,47,3,2,2024-06-13 09:14:03+00:00,2026-02-09 09:16:23+00:00,"2548348,3515488,3518185","2023-2024,2024-2025,2025-2026"
0590122M,1,1,0,0,2025-06-05 13:19:08+00:00,2025-06-05 13:19:08+00:00,2548348,2024-2025
0590198V,6,6,1,1,2026-03-19 22:27:46+00:00,2026-03-20 13:20:26+00:00,3518185,2025-2026
0590223X,5,7,0,0,2026-02-06 07:25:06+00:00,2026-02-06 08:27:36+00:00,6944347,2025-2026
0592921E,19,19,1,1,2026-01-08 14:03:17+00:00,2026-01-27 15:32:34+00:00,3515488,2025-2026
0596925G,141,205,0,0,2024-11-12 14:27:32+00:00,2026-04-07 21:01:44+00:00,"2548348,3518185,6944347","2024-2025,2025-2026"
0597005U,28,28,2,1,2026-02-03 14:43:14+00:00,2026-02-06 10:12:34+00:00,6944347,2025-2026
0600002B,25,25,0,0,2025-04-24 14:13:56+00:00,2025-05-15 13:48:31+00:00,3515488,2024-2025
0600013N,33,33,0,0,2025-06-05 10:38:13+00:00,2026-05-21 12:51:11+00:00,"2548348,6944347","2024-2025,2025-2026"
0600021X,13,13,0,0,2025-05-19 07:28:11+00:00,2026-06-01 13:17:39+00:00,2548348,"2024-2025,2025-2026"
0601826J,27,27,0,0,2026-03-25 10:20:19+00:00,2026-03-26 11:30:45+00:00,8790616,2025-2026
0601863Z,15,15,11,2,2025-02-22 14:32:43+00:00,2026-02-04 11:20:03+00:00,"2548348,3515488,3518185,3534169,4388355,6659633,6944347","2024-2025,2025-2026"
0620006V,38,38,0,0,2026-05-18 09:17:49+00:00,2026-05-27 06:10:29+00:00,3518185,2025-2026
0620140R,100,118,2,2,2025-02-26 08:35:11+00:00,2026-06-08 12:43:09+00:00,"2548348,3515488,3518185","2024-2025,2025-2026"
0620189U,4,5,0,0,2025-12-11 10:30:03+00:00,2026-01-07 09:32:50+00:00,3515488,2025-2026
0622276M,1,1,0,0,2026-03-09 07:48:27+00:00,2026-03-09 07:48:27+00:00,2548348,2025-2026
0622803K,0,0,3,1,2025-03-13 09:58:33+00:00,2025-03-17 07:08:31+00:00,"2548348,5862412",2024-2025
0623328F,0,0,1,1,2026-04-08 14:09:52+00:00,2026-04-08 14:09:52+00:00,3518185,2025-2026
0623915U,15,15,2,1,2026-04-03 07:26:08+00:00,2026-04-07 13:47:33+00:00,5909323,2025-2026
0624141P,277,392,6,3,2025-02-25 08:19:50+00:00,2026-06-08 14:43:07+00:00,"2548348,3515488,3518185,5862412,6659633,8790616","2024-2025,2025-2026"
0640228A,4,5,3,1,2025-11-25 22:58:32+00:00,2025-11-27 14:54:06+00:00,"3515488,3518185",2025-2026
0641941M,3,3,1,1,2025-10-13 22:29:45+00:00,2025-10-22 15:07:26+00:00,3518185,2025-2026
0660004W,47,47,1,1,2026-04-13 22:44:44+00:00,2026-04-17 07:11:59+00:00,"3515488,5862412",2025-2026
0670002N,21,21,0,0,2026-05-25 10:20:02+00:00,2026-06-09 08:24:24+00:00,"5862412,8790616",2025-2026
0670007U,17,17,1,1,2026-05-25 14:38:06+00:00,2026-05-27 09:24:20+00:00,6944347,2025-2026
0672806L,35,35,0,0,2025-04-25 12:15:20+00:00,2026-01-26 15:13:58+00:00,2548348,"2024-2025,2025-2026"
0680010S,22,39,5,1,2025-06-03 06:59:28+00:00,2025-06-15 07:53:45+00:00,"2548348,3518185,4388355,5862412,5909323",2024-2025
0690023A,110,122,2,1,2025-04-08 15:23:34+00:00,2026-05-07 08:56:24+00:00,"2548348,3534169,5862412,5909323","2024-2025,2025-2026"
0690026D,7,7,7,1,2024-09-08 20:35:29+00:00,2026-05-28 06:49:55+00:00,3518185,"2024-2025,2025-2026"
0750648X,67,67,0,0,2026-02-10 10:28:27+00:00,2026-04-17 12:36:37+00:00,"5862412,6944347",2025-2026
0750655E,63,63,0,0,2025-04-09 06:07:40+00:00,2026-06-02 13:54:08+00:00,2548348,"2024-2025,2025-2026"
0750662M,44,44,7,1,2024-05-16 06:14:35+00:00,2026-05-28 08:25:26+00:00,2548348,"2023-2024,2024-2025,2025-2026"
0750663N,0,0,1,1,2026-01-22 16:28:55+00:00,2026-01-22 16:28:55+00:00,5909323,2025-2026
0750673Z,48,48,2,1,2025-03-13 15:02:35+00:00,2026-02-17 10:47:56+00:00,"2548348,3515488,3518185","2024-2025,2025-2026"
0750676C,0,0,1,1,2025-03-25 17:29:20+00:00,2025-03-25 17:29:20+00:00,3515488,2024-2025
0750680G,15,15,1,1,2026-03-15 23:06:16+00:00,2026-03-16 13:42:37+00:00,3518185,2025-2026
0750690T,2,2,0,0,2024-05-17 12:43:23+00:00,2024-05-17 12:46:28+00:00,3518185,2023-2024
0750693W,73,73,0,0,2026-04-13 11:59:56+00:00,2026-06-02 09:53:16+00:00,3518185,2025-2026
0750702F,31,31,0,0,2026-02-20 12:18:05+00:00,2026-02-20 12:29:14+00:00,9747648,2025-2026
0750703G,22,22,2,2,2026-01-14 13:40:25+00:00,2026-05-28 13:11:20+00:00,"3515488,8790616",2025-2026
0750711R,20,20,2,1,2024-05-05 17:02:55+00:00,2025-03-28 11:31:36+00:00,"2548348,3518185","2023-2024,2024-2025"
0750712S,0,0,1,1,2025-09-08 04:50:04+00:00,2025-09-08 04:50:04+00:00,2548348,2025-2026
0750796H,14,14,2,1,2026-04-09 12:08:16+00:00,2026-04-14 11:52:22+00:00,3518185,2025-2026
0752182P,0,0,1,1,2026-04-13 09:55:06+00:00,2026-04-13 09:55:06+00:00,3515488,2025-2026
0752248L,23,38,1,1,2026-05-28 08:56:10+00:00,2026-06-04 14:12:38+00:00,"3518185,6944347",2025-2026
0754042L,23,23,0,0,2025-05-07 09:01:39+00:00,2025-05-22 06:19:26+00:00,"3515488,3518185",2024-2025
0762601P,32,55,1,1,2026-01-22 12:34:57+00:00,2026-06-04 11:52:39+00:00,"3515488,3518185",2025-2026
0762976X,8,8,0,0,2024-05-30 11:25:06+00:00,2024-05-30 11:41:50+00:00,2548348,2023-2024
0770930T,108,108,1,1,2026-02-15 13:27:20+00:00,2026-05-26 13:02:48+00:00,"3515488,3518185,6944347",2025-2026
0771512A,17,17,2,2,2025-04-11 06:53:48+00:00,2026-06-01 12:31:21+00:00,"2548348,3515488","2024-2025,2025-2026"
0772243V,20,21,0,0,2025-05-26 06:33:20+00:00,2025-05-26 06:50:25+00:00,5862412,2024-2025
0780422K,66,66,0,0,2025-04-01 12:13:24+00:00,2025-05-21 06:56:05+00:00,"2548348,3515488",2024-2025
0781859X,2,2,0,0,2025-06-03 08:37:10+00:00,2025-06-03 09:04:25+00:00,3515488,2024-2025
0781898P,14,14,1,1,2026-05-12 10:38:37+00:00,2026-05-12 12:00:22+00:00,8790616,2025-2026
0781949V,16,16,1,1,2026-05-19 15:05:04+00:00,2026-06-01 10:31:06+00:00,"3515488,8790616",2025-2026
0782540M,6,6,0,0,2025-06-04 09:19:48+00:00,2025-06-04 09:29:30+00:00,2548348,2024-2025
0782568T,1,2,0,0,2025-03-11 10:26:31+00:00,2025-03-11 10:27:49+00:00,2548348,2024-2025
0791062A,0,0,1,1,2026-02-12 18:19:41+00:00,2026-02-12 18:19:41+00:00,6659633,2025-2026
0800010B,12,12,1,1,2024-04-16 09:28:47+00:00,2024-05-06 12:31:03+00:00,2548348,2023-2024
0830025B,41,41,0,0,2026-05-05 11:09:51+00:00,2026-05-05 13:24:36+00:00,2548348,2025-2026
0830050D,18,18,0,0,2026-04-27 07:09:54+00:00,2026-04-27 07:16:24+00:00,2548348,2025-2026
0831559U,0,0,1,1,2023-12-27 16:46:30+00:00,2023-12-27 16:46:30+00:00,2548348,2023-2024
0840001V,3,3,0,0,2024-06-01 14:53:26+00:00,2024-06-03 07:58:27+00:00,2548348,2023-2024
0840003X,24,24,1,1,2025-05-21 08:17:31+00:00,2025-05-23 11:18:42+00:00,2548348,2024-2025
0890005X,6,6,1,1,2026-02-05 15:22:59+00:00,2026-04-28 11:59:24+00:00,2548348,2025-2026
0910625K,26,38,0,0,2025-06-04 06:47:31+00:00,2025-06-10 09:04:27+00:00,"2548348,3515488",2024-2025
0910626L,65,65,4,2,2025-06-03 08:59:13+00:00,2026-05-19 15:04:26+00:00,"2548348,6659633,6944347,8790616","2024-2025,2025-2026"
0910727W,71,71,1,1,2025-09-29 08:14:53+00:00,2026-05-26 09:22:06+00:00,3518185,2025-2026
0911632E,1,1,0,0,2026-05-26 10:05:11+00:00,2026-05-26 10:05:11+00:00,5862412,2025-2026
0911913K,60,60,2,1,2026-01-13 11:03:04+00:00,2026-06-04 11:34:16+00:00,3515488,2025-2026
0920136Y,14,14,2,1,2026-03-30 18:40:53+00:00,2026-05-21 12:22:54+00:00,"3515488,3518185",2025-2026
0920137Z,2,2,0,0,2026-05-26 07:50:12+00:00,2026-05-26 09:04:58+00:00,2548348,2025-2026
0921399W,12,21,0,0,2026-04-07 09:14:07+00:00,2026-04-07 10:11:25+00:00,"3515488,3518185",2025-2026
0922579D,13,13,0,0,2026-03-11 07:11:34+00:00,2026-03-11 07:24:02+00:00,6659633,2025-2026
0922801V,23,23,0,0,2026-05-27 13:04:47+00:00,2026-06-04 14:58:29+00:00,6944347,2025-2026
0930119Z,1,1,0,0,2026-05-08 09:15:25+00:00,2026-05-08 09:15:25+00:00,3515488,2025-2026
0930120A,11,11,0,0,2026-03-16 07:23:52+00:00,2026-04-13 06:20:29+00:00,3518185,2025-2026
0930122C,4,4,0,0,2026-06-08 13:15:57+00:00,2026-06-08 13:19:40+00:00,6944347,2025-2026
0930124E,36,36,0,0,2025-03-31 12:14:25+00:00,2025-03-31 13:46:01+00:00,3515488,2024-2025
0930833A,8,8,1,1,2026-02-13 12:01:38+00:00,2026-03-13 07:27:10+00:00,3518185,2025-2026
0930834B,0,0,3,1,2024-03-07 11:27:18+00:00,2026-01-12 13:14:12+00:00,"2548348,3515488","2023-2024,2024-2025,2025-2026"
0931430Z,26,26,1,1,2026-05-17 15:49:39+00:00,2026-05-18 12:10:44+00:00,2548348,2025-2026
0931584S,48,56,0,0,2025-03-07 14:49:10+00:00,2026-05-28 12:41:11+00:00,3518185,"2024-2025,2025-2026"
0940116R,36,36,1,1,2026-04-03 06:04:06+00:00,2026-04-13 09:28:36+00:00,5909323,2025-2026
0940126B,0,0,2,1,2026-03-25 11:40:45+00:00,2026-06-16 08:18:15+00:00,3515488,2025-2026
0940580V,0,0,1,1,2025-08-21 14:08:19+00:00,2025-08-21 14:08:19+00:00,5862412,2025-2026
0940742W,5,5,0,0,2024-05-31 10:32:52+00:00,2024-06-04 11:48:34+00:00,2548348,2023-2024
0942269F,25,25,0,0,2026-05-26 09:17:02+00:00,2026-05-28 11:17:12+00:00,5909323,2025-2026
0950650R,36,36,1,1,2025-12-11 07:13:41+00:00,2026-05-28 14:04:27+00:00,"3518185,8790616",2025-2026
0951710T,45,45,0,0,2025-05-27 08:49:19+00:00,2025-06-02 15:07:29+00:00,"3515488,3518185",2024-2025
0951723G,25,28,1,1,2024-04-04 06:39:17+00:00,2025-03-03 08:20:50+00:00,2548348,"2023-2024,2024-2025"
0951756T,6,6,0,0,2026-06-05 06:39:06+00:00,2026-06-05 06:43:32+00:00,2548348,2025-2026
0951763A,9,9,1,1,2024-05-14 06:02:32+00:00,2024-05-22 06:05:46+00:00,2548348,2023-2024
0951788C,95,95,0,0,2026-02-05 15:16:58+00:00,2026-05-04 09:22:44+00:00,5909323,2025-2026
0952284S,4,4,0,0,2025-06-10 06:24:48+00:00,2025-06-10 07:31:34+00:00,2548348,2024-2025
2430001F,0,0,1,1,2025-12-12 03:33:52+00:00,2025-12-12 03:33:52+00:00,6944347,2025-2026
9840001D,5,5,0,0,2026-06-02 22:46:51+00:00,2026-06-05 19:51:39+00:00,3518185,2025-2026
9840002E,76,103,4,2,2025-06-03 18:17:14+00:00,2026-06-04 17:33:05+00:00,"2548348,3515488,3518185","2024-2025,2025-2026"
9840004G,1,1,0,0,2025-05-17 00:11:48+00:00,2025-05-17 00:11:48+00:00,2548348,2024-2025
9840024D,30,30,0,0,2025-06-02 22:21:26+00:00,2025-06-04 19:42:07+00:00,2548348,2024-2025
X,15,15,0,0,2025-04-23 07:46:11+00:00,2025-04-25 09:21:40+00:00,2548348,2024-2025
