session_urlr_id,link_id,code,mathadata_id,mathadata_title,resource_slug,start,end,sy,date,active_hours,clicks,n_visiteurs_uniques_urlr,usage_classe_estime,seance_riche_estimee,grande_classe_estimee,capytale_observable,n_sessions_capytale_simultanees,max_eleves_capytale_simultanes,mode_historique,n_sessions_capytale_pm1h,max_eleves_capytale_pm1h,mode_sensibilite_pm1h,mode_exploratoire_clics,indeterminate_reason
U0054,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-02 13:00:00+01:00,2026-02-02 14:00:00+01:00,2025-2026,2026-02-02,1,13,1,False,False,False,True,0,0,indetermine,0,0,indetermine,compatible_remplacement,petite_salve_sans_capytale
U0135,b7c1fd64-4280-4af2-9e78-4880a6a88c84,e9tZ56,6659633,"MathAData- Géométrie repérée, milieu, distance, pour la classification d'images de chiffres - 2nde",geometry2ndemilieudistance-mnist,2026-02-03 07:00:00+01:00,2026-02-03 08:00:00+01:00,2025-2026,2026-02-03,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0055,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-03 10:00:00+01:00,2026-02-03 11:00:00+01:00,2025-2026,2026-02-03,1,10,7,True,False,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0158,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-03 17:00:00+01:00,2026-02-03 18:00:00+01:00,2025-2026,2026-02-03,1,8,8,True,False,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0056,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-04 14:00:00+01:00,2026-02-04 15:00:00+01:00,2025-2026,2026-02-04,1,1,1,False,False,False,True,1,3,indetermine,2,3,indetermine,indetermine,petite_salve_avec_capytale_sous_seuil
U0159,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-04 17:00:00+01:00,2026-02-04 20:00:00+01:00,2025-2026,2026-02-04,3,6,3,False,False,False,True,0,0,indetermine,0,0,indetermine,compatible_remplacement,petite_salve_sans_capytale
U0057,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-04 20:00:00+01:00,2026-02-04 21:00:00+01:00,2025-2026,2026-02-04,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0018,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-02-04 21:00:00+01:00,2026-02-04 22:00:00+01:00,2025-2026,2026-02-04,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0058,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-05 00:00:00+01:00,2026-02-05 01:00:00+01:00,2025-2026,2026-02-05,1,2,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0160,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-05 08:00:00+01:00,2026-02-05 10:00:00+01:00,2025-2026,2026-02-05,2,3,2,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0059,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-05 08:00:00+01:00,2026-02-05 09:00:00+01:00,2025-2026,2026-02-05,1,1,1,False,False,False,True,0,0,indetermine,1,2,indetermine,indetermine,petite_salve_sans_capytale
U0060,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-05 14:00:00+01:00,2026-02-05 18:00:00+01:00,2025-2026,2026-02-05,3,23,2,False,False,False,True,0,0,indetermine,2,3,indetermine,compatible_remplacement,petite_salve_sans_capytale
U0161,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-06 13:00:00+01:00,2026-02-06 14:00:00+01:00,2025-2026,2026-02-06,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0005,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-02-06 13:00:00+01:00,2026-02-06 14:00:00+01:00,2025-2026,2026-02-06,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0162,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-08 10:00:00+01:00,2026-02-08 11:00:00+01:00,2025-2026,2026-02-08,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0061,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-08 12:00:00+01:00,2026-02-08 13:00:00+01:00,2025-2026,2026-02-08,1,1,1,False,False,False,True,1,11,compatible_depannage,1,11,compatible_depannage,compatible_depannage,
U0019,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-02-08 14:00:00+01:00,2026-02-08 15:00:00+01:00,2025-2026,2026-02-08,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0006,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-02-08 14:00:00+01:00,2026-02-08 15:00:00+01:00,2025-2026,2026-02-08,1,2,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0062,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-09 07:00:00+01:00,2026-02-09 08:00:00+01:00,2025-2026,2026-02-09,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0063,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-09 10:00:00+01:00,2026-02-09 11:00:00+01:00,2025-2026,2026-02-09,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0064,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-09 13:00:00+01:00,2026-02-09 14:00:00+01:00,2025-2026,2026-02-09,1,2,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0163,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-02-09 16:00:00+01:00,2026-02-09 18:00:00+01:00,2025-2026,2026-02-09,2,5,5,True,False,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0065,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-10 09:00:00+01:00,2026-02-10 12:00:00+01:00,2025-2026,2026-02-10,3,24,9,True,False,False,True,1,28,indetermine,1,28,indetermine,indetermine,grande_salve_avec_capytale
U0066,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-11 14:00:00+01:00,2026-02-11 15:00:00+01:00,2025-2026,2026-02-11,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
