"assignment_id";"created";"changed";"assignment_title";"student";"Role";"uai_el";"activity_id";"teacher";"uai_teach";"mathadata_id";"mathadata_title"
"3414963";"1712838822";"1712842486";"Intro à l'IA : classification de chiffres 2 et 7";"506435831c100dd10803d131bcef9e2a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415118";"1712839233";"1712839233";"Intro à l'IA : classification de chiffres 2 et 7";"2b043e66c34ec47bb6f38ac279abcbac";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415195";"1712839665";"1712843345";"Intro à l'IA : classification de chiffres 2 et 7";"52403e49f15bd9f69e9e1f5d7d095eef";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415277";"1712840084";"1712841393";"Intro à l'IA : classification de chiffres 2 et 7";"bf768757fcced6b888344f2267c7f252";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415283";"1712840112";"1712841442";"Intro à l'IA : classification de chiffres 2 et 7";"0665e7dea23cda89549feca50863e2ef";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415404";"1712840634";"1712842841";"Intro à l'IA : classification de chiffres 2 et 7";"0e50cfb248a278270a727ba909288956";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415431";"1712840714";"1712840714";"Intro à l'IA : classification de chiffres 2 et 7";"f53f6d0e58781ab1a4d4e875f41cf6a4";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415457";"1712840771";"1712840771";"Intro à l'IA : classification de chiffres 2 et 7";"16693ad0a9f05ceba9ce1b6a59b65528";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3415588";"1712841137";"1712841137";"Intro à l'IA : classification de chiffres 2 et 7";"4ccccb20aa82242ccc763328c80e26ba";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6058862";"1742466343";"1742466343";"Intro à l'IA : classification de chiffres 2 et 7";"d95329dd5967bc01b7a49df0ec47d43a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6058867";"1742466350";"1742466350";"Intro à l'IA : classification de chiffres 2 et 7";"2c00bc2ae5d72e9cac790bfe2d1d1d6a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6058874";"1742466359";"1742467349";"Intro à l'IA : classification de chiffres 2 et 7";"8d1693e4bbb2b8822bde178414e9fc4d";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059446";"1742467175";"1742467175";"Intro à l'IA : classification de chiffres 2 et 7";"3c71d585968789f505ca3aa0647ed0cc";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059466";"1742467193";"1742468798";"Intro à l'IA : classification de chiffres 2 et 7";"47eed67d98e89485e949cd2b76d86b70";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059477";"1742467208";"1742468601";"Intro à l'IA : classification de chiffres 2 et 7";"aa71c29434ed82fbb2cb1d7799db42e5";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059479";"1742467209";"1742467209";"Intro à l'IA : classification de chiffres 2 et 7";"6191cc551a97f909c50901c2657f9d07";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059524";"1742467244";"1742896845";"Intro à l'IA : classification de chiffres 2 et 7";"8f53361a6405687824232e1075011ec7";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059530";"1742467251";"1742467251";"Intro à l'IA : classification de chiffres 2 et 7";"a3611598be34f51299551245593fe33d";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059569";"1742467333";"1742468747";"Intro à l'IA : classification de chiffres 2 et 7";"6749fa135c34f7d476eb704a49f9df50";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059624";"1742467415";"1742467415";"Intro à l'IA : classification de chiffres 2 et 7";"8ebf167928e240efc07d71b84b87979a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059705";"1742467538";"1742467538";"Intro à l'IA : classification de chiffres 2 et 7";"d751a7c75e4de2a7a32dcca91a819fea";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059724";"1742467562";"1742467562";"Intro à l'IA : classification de chiffres 2 et 7";"56fc1c026f259079b21512bfa34c3449";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059725";"1742467562";"1742468654";"Intro à l'IA : classification de chiffres 2 et 7";"280dcd3db035849eb300c87fa0d6743a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059735";"1742467577";"1742467577";"Intro à l'IA : classification de chiffres 2 et 7";"3c5a1cc089f6c5254979a24c225e73b8";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059748";"1742467601";"1742468844";"Intro à l'IA : classification de chiffres 2 et 7";"a3e0690883d2d0eb8c734c94c5276e5f";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059844";"1742467728";"1742467728";"Intro à l'IA : classification de chiffres 2 et 7";"ba04a34340e2225b01bd6995690f540c";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6059931";"1742467898";"1742467898";"Intro à l'IA : classification de chiffres 2 et 7";"968367a46256f0d27a4dd09332c9a12e";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6060125";"1742468450";"1742468450";"Intro à l'IA : classification de chiffres 2 et 7";"28c738411f8f7290391bb2f0f88c4e9a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"6060138";"1742468492";"1742468492";"Intro à l'IA : classification de chiffres 2 et 7";"ddc83ad499f8b42d85c65760713ca82a";"student";"0331760J";"3234067";"3c045c78a60754db71b841fcdcffec22";"0331668J";"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3338284";"1712053228";"1712060213";"Intro à l'IA : classification de chiffres 2 et 7";"54c4480d03c18ec528e46527d7882af8";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3338418";"1712053847";"1712055683";"Intro à l'IA : classification de chiffres 2 et 7";"40174d861a013f0794307d2ed31caee6";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3354114";"1712211538";"1712211538";"Intro à l'IA : classification de chiffres 2 et 7";"524e78fc31a165928156f9dd3171961f";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3354206";"1712211753";"1712211753";"Intro à l'IA : classification de chiffres 2 et 7";"08b762d0c7caea233cee3e5ec16f5beb";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3355196";"1712214579";"1712214579";"Intro à l'IA : classification de chiffres 2 et 7";"6dd9ce1e38ea75f89709ffaba0b2f369";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3355248";"1712214677";"1712214750";"Intro à l'IA : classification de chiffres 2 et 7";"e9d621e63f75b967f4b026d49cc7e6b4";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3361408";"1712232944";"1712232944";"Intro à l'IA : classification de chiffres 2 et 7";"0b77a7a42430dceb66d3c938b039ecd1";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
