nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Ecole 2D degré général privée International Montessori Athéna,0783681C,lycee,Bailly,Versailles,Yvelines,Privé,,48.84346426089196,2.0765052979895384
Ecole secondaire privée IDEE,0783702A,college,Saint-Germain-de-la-Grange,Versailles,Yvelines,Privé,,48.82380409957568,1.9036452158701398
Ecole secondaire privée La Jonchère,0783727C,college,La Celle-Saint-Cloud,Versailles,Yvelines,Privé,,48.85932165620619,2.147951617630735
Ecole secondaire privée Institut FFGOLF de Haut niveau,0783738P,college,Magny-les-Hameaux,Versailles,Yvelines,Privé,,48.75523841060512,2.074409382713924
Ecole secondaire privée Forest International School,0783770Z,college,Mareil-Marly,Versailles,Yvelines,Privé,,48.874390959931674,2.0647671478978307
Collège André Chénier-nouveau collège,0783774D,college,Mantes-la-Jolie,Versailles,Yvelines,Public,71.9,49.00116716280137,1.682758327166094
Lycée général et technologique Jean-Jacques Rousseau,0950648N,lycee,Montmorency,Versailles,Val-d'Oise,Public,121.3,48.99019475964912,2.3176988452567544
Lycée général et technologique Jacques Prévert,0950651S,lycee,Taverny,Versailles,Val-d'Oise,Public,116,49.01489300557792,2.2107325269635
Lycée polyvalent Virginia Henderson,0950709E,lycee,Arnouville,Versailles,Val-d'Oise,Public,78.1,48.98543704043934,2.4072545152352416
Collège Jean Lurcat,0950723V,college,Sarcelles,Versailles,Val-d'Oise,Public,77.1,48.97574185893895,2.3790837555276654
Collège Wanda Landowska,0950748X,college,Saint-Leu-la-Forêt,Versailles,Val-d'Oise,Public,117.2,49.01122276470211,2.236520860456926
Collège Saint-Exupéry,0950749Y,college,Villiers-le-Bel,Versailles,Val-d'Oise,Public,72.1,49.001690714763306,2.405627168980533
Collège privé Saint Stanislas,0950760K,college,Osny,Versailles,Val-d'Oise,Privé,134.1,49.059309455506416,2.0699372042700968
Collège privé Sainte Geneviève,0950788R,college,Argenteuil,Versailles,Val-d'Oise,Privé,132.5,48.95374038428871,2.2609236844994514
Collège privé Saint Joseph,0950789S,college,Argenteuil,Versailles,Val-d'Oise,Privé,131.8,48.9599737279179,2.2382908244205693
Collège Pierre de Ronsard,0950891C,college,Montmorency,Versailles,Val-d'Oise,Public,107.9,48.99753711909125,2.3197685360607507
Collège François Mauriac,0950908W,college,Louvres,Versailles,Val-d'Oise,Public,99.9,49.042811601252616,2.5078320848277476
Collège Jean Vilar,0950932X,college,Herblay-sur-Seine,Versailles,Val-d'Oise,Public,118.8,48.99488562672273,2.1560095243029176
Collège des Hautiers,0950936B,college,Marines,Versailles,Val-d'Oise,Public,119.2,49.148541861462135,1.9851531486712737
Collège Léon Blum,0950939E,college,Villiers-le-Bel,Versailles,Val-d'Oise,Public,71.8,49.00420536347406,2.412101611968913
"Lycée professionnel Jean Mermoz - Lycée des métiers de l'électrotechnique, des services commerciaux et administratifs",0950949R,lycee,Montsoult,Versailles,Val-d'Oise,Public,82.2,49.06708621526797,2.323093476136552
Lycée général et technologique privé Torat Emet,0951048Y,lycee,Sarcelles,Versailles,Val-d'Oise,Privé,120,48.98121393079114,2.3754744706076707
Collège Georges Brassens,0951197K,college,Taverny,Versailles,Val-d'Oise,Public,106.9,49.014971964214524,2.2122119060508454
"Lycée polyvalent Turgot, lycée des métiers de la relation client et de la gestion",0951281B,lycee,Montmorency,Versailles,Val-d'Oise,Public,87.9,48.98502119587315,2.3213095949259035
Collège Schweitzer,0951352D,college,Soisy-sous-Montmorency,Versailles,Val-d'Oise,Public,100.3,48.9948854339396,2.3014844558866723
Collège La Bruyère,0951403J,college,Osny,Versailles,Val-d'Oise,Public,101.1,49.05897624594165,2.045904928129974
Collège Jean-Baptiste Poquelin,0751703U,college,Paris  1er Arrondissement,Paris,Paris,Public,128.4,48.8646532765947,2.335488286978779
Collège George Sand,0752316K,college,Paris 13e  Arrondissement,Paris,Paris,Public,113.8,48.82601407289872,2.3558856293618198
Collège André Malraux,0752387M,college,Paris 17e  Arrondissement,Paris,Paris,Public,128.7,48.87880981821425,2.290514722867036
Collège Lamartine,0752534X,college,Paris  9e  Arrondissement,Paris,Paris,Public,142.4,48.8783808876197,2.349088600466694
Collège Henri Bergson,0752555V,college,Paris 19e  Arrondissement,Paris,Paris,Public,107.9,48.88112074883683,2.377938887612686
Collège Le Petit Pont,0694092Y,college,Saint-Martin-en-Haut,Lyon,Rhône,Public,114,45.657885631786506,4.553935487962848
Collège privé Notre Dame Site Claudine Thévenet,0694279B,college,Belleville-en-Beaujolais,Lyon,Rhône,Privé,110,46.11597543711204,4.709041447693256
Collège privé L'Envolée,0694320W,college,Saint-Cyr-au-Mont-d'Or,Lyon,Rhône,Privé,,45.83121425787424,4.806918158227055
Ecole secondaire privée Horizons,0694356K,college,Villeurbanne,Lyon,Rhône,Privé,,45.7786296142782,4.867287463438736
Ecole secondaire privée IPESS,0694374E,lycee,Lyon 7e  Arrondissement,Lyon,Rhône,Privé,,45.73643739236785,4.836840805564324
Collège Les Bons Raisins,0921234S,college,Rueil-Malmaison,Versailles,Hauts-de-Seine,Public,122.2,48.87380207168752,2.195082344320253
Collège Jean Jaurès,0921391M,college,Levallois-Perret,Versailles,Hauts-de-Seine,Public,114.9,48.89797105903674,2.2864425084330593
Collège Marcel Pagnol,0921501G,college,Rueil-Malmaison,Versailles,Hauts-de-Seine,Public,126,48.87513147118512,2.186987496816312
Lycée professionnel Louis Dardenne,0921505L,lycee,Vanves,Versailles,Hauts-de-Seine,Public,91.7,48.82002327168077,2.2878443117179637
Collège André Malraux,0921545E,college,Asnières-sur-Seine,Versailles,Hauts-de-Seine,Public,84.8,48.92650988510041,2.276999947399213
Collège Bel Air,0921554P,college,Meudon,Versailles,Hauts-de-Seine,Public,136.2,48.81432614512054,2.224463048662479
Lycée général et technologique Michel Ange,0921594H,lycee,Villeneuve-la-Garenne,Versailles,Hauts-de-Seine,Public,90.3,48.94096986852866,2.326914950429712
