uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0500002F,Lycée Géneral et Téchnologique Emile Littré,lycee,Public,Normandie,Manche,Avranches,109.9,48.67801076044812,-1.3591602020756042,1,1,0,17,17,1,0,2024-2025
0500035S,Collège Roland Vaudatin,college,Public,Normandie,Manche,Gavray-sur-Sienne,92.6,48.909471026638265,-1.3526035848336662,1,1,0,17,17,5,0,2024-2025
0540070H,Lycée général et technologique Jacques Callot,lycee,Public,Nancy-Metz,Meurthe-et-Moselle,Vandoeuvre-lès-Nancy,110.9,48.66635879315081,6.16134945280061,1,1,0,2,2,1,1,2024-2025
0561534N,Lycée général et technologique Benjamin Franklin,lycee,Public,Rennes,Morbihan,Auray,119.4,47.67225559989655,-2.979710208529418,1,1,0,3,3,1,0,2023-2024
0590011S,Lycée polyvalent Gustave Eiffel - Lycée des métiers,lycee,Public,Lille,Nord,Armentières,111.8,50.68889482830899,2.8709805526447854,2,2,0,61,60,4,2,2024-2025|2025-2026
0590064Z,Lycée général et technologique Jean-Baptiste Corot,lycee,Public,Lille,Nord,Douai,100.6,50.37451372192315,3.0786206356480013,1,1,0,99,52,11,2,2024-2025|2025-2026
0590073J,Lycée général et technologique Auguste Angellier,lycee,Public,Lille,Nord,Dunkerque,111.7,51.04742707320568,2.418563018096749,3,2,1,58,58,4,6,2024-2025
0590093F,Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie,lycee,Public,Lille,Nord,Haubourdin,109.1,50.599202793596874,2.9873303455090494,2,2,0,473,431,49,5,2023-2024|2024-2025|2025-2026
0590101P,Lycée général et technologique des Flandres,lycee,Public,Lille,Nord,Hazebrouck,112.2,50.73117704127288,2.5290609979501575,3,3,0,118,118,11,49,2024-2025|2025-2026
0590102R,Lycée Professionnel des Monts de Flandre,lycee,Public,Lille,Nord,Hazebrouck,82.9,50.73117704127288,2.5290609979501575,4,3,1,14,9,9,4,2025-2026
0590110Z,Lycée général et technologique Jean Perrin,lycee,Public,Lille,Nord,Lambersart,116.1,50.6475899494943,3.0391493491656583,2,2,0,53,49,7,2,2023-2024|2024-2025
